user,genuine,score
s032,True,-106.37653508108005
s032,True,-106.74657747148
s032,True,-105.9926843816597
s032,True,-98.52774728221402
s032,True,-101.2225043703126
s032,True,-119.66307712879104
s032,True,-102.01548726737818
s032,True,-97.3261804558098
s032,True,-121.78331163483453
s032,True,-101.50500931344246
s032,True,-112.53664778850097
s032,True,-107.53404051190502
s032,True,-120.22885534825697
s032,True,-114.46491356133474
s032,True,-118.9828176708895
s032,True,-100.22104414848586
s032,True,-104.67634350008495
s032,True,-98.30071245631913
s032,True,-124.8742505014284
s032,True,-99.64568882887663
s032,True,-102.129187896795
s032,True,-97.66766437107222
s032,True,-109.02397072701672
s032,True,-98.82326180431863
s032,True,-101.06395323013406
s032,True,-105.42200346724105
s032,True,-100.94472372944735
s032,True,-112.13711949551245
s032,True,-113.45329699745105
s032,True,-108.04077795611906
s032,True,-105.14081530364233
s032,True,-103.71558141891019
s032,True,-107.88681704965262
s032,True,-113.9649133447397
s032,True,-113.04455910914709
s032,True,-110.55553524247969
s032,True,-106.20783868683245
s032,True,-107.90202798211368
s032,True,-122.77798778635332
s032,True,-113.26981250135687
s032,True,-105.77270440671406
s032,True,-106.97536645762553
s032,True,-113.3981750243569
s032,True,-104.99654476367579
s032,True,-110.50581925573272
s032,True,-101.06768054181488
s032,True,-107.42538121679173
s032,True,-109.21544072700456
s032,True,-96.9226837797076
s032,True,-102.49406381898865
s032,True,-129.21237150808798
s032,True,-115.91097989753663
s032,True,-128.9828210717221
s032,True,-110.38733610480003
s032,True,-109.23872813269948
s032,True,-123.55391799646442
s032,True,-120.05196632768384
s032,True,-116.73609836129216
s032,True,-117.59928045317328
s032,True,-124.73679373928853
s032,True,-128.27842956849156
s032,True,-124.59389374400295
s032,True,-111.5976404128127
s032,True,-103.01980831872322
s032,True,-106.05840059645311
s032,True,-98.35826438532037
s032,True,-116.84084782046858
s032,True,-109.05762921789984
s032,True,-123.30149555570253
s032,True,-117.99268190868989
s032,True,-121.0184013605047
s032,True,-109.74941253213971
s032,True,-103.62902449650207
s032,True,-120.60380740808749
s032,True,-108.29396261096643
s032,True,-105.04211554978772
s032,True,-111.97596439710168
s032,True,-110.26466859286391
s032,True,-117.72217800476928
s032,True,-136.2781012876601
s032,True,-131.49438351155592
s032,True,-122.14539752954215
s032,True,-120.93216657423206
s032,True,-132.32687486820825
s032,True,-112.77814276474383
s032,True,-119.93048794579157
s032,True,-119.88966052461637
s032,True,-113.09134822255912
s032,True,-106.88380943375851
s032,True,-119.57711168252662
s032,True,-111.83753829533285
s032,True,-118.0840877084204
s032,True,-117.3740208530073
s032,True,-121.86909869333311
s032,True,-112.83712422114445
s032,True,-110.29280637282648
s032,True,-126.78274467752935
s032,True,-117.69934618257713
s032,True,-110.87377347940135
s032,True,-111.88802646172424
s032,True,-107.80521674264546
s032,True,-102.49919312785988
s032,True,-105.95431099527083
s032,True,-118.25823775405838
s032,True,-106.91852247161897
s032,True,-109.5603377816044
s032,True,-112.14461671219729
s032,True,-110.42589449206095
s032,True,-117.82407771669192
s032,True,-110.9374360389126
s032,True,-118.4596829875603
s032,True,-118.26657972660631
s032,True,-111.4193077672866
s032,True,-111.90758456017976
s032,True,-121.46942660925238
s032,True,-115.95140760365378
s032,True,-113.34177559864122
s032,True,-111.02039586101773
s032,True,-117.87593567502059
s032,True,-122.95430935156614
s032,True,-117.3947294843743
s032,True,-125.06260245310702
s032,True,-121.57121766952615
s032,True,-111.83177029326538
s032,True,-112.41013617416202
s032,True,-125.56292433515145
s032,True,-134.73856935230066
s032,True,-115.1852311670659
s032,True,-132.14862262683963
s032,True,-122.50257213529554
s032,True,-121.0944180395439
s032,True,-128.60761874176453
s032,True,-118.90106014640278
s032,True,-126.89594984387492
s032,True,-138.00376763978574
s032,True,-128.97890107210162
s032,True,-128.42569539022153
s032,True,-118.32101575778002
s032,True,-116.592843907929
s032,True,-122.72131137693047
s032,True,-129.48553285736202
s032,True,-130.6469175229189
s032,True,-128.14136186706278
s032,True,-125.1621650433764
s032,True,-122.16185884648775
s032,True,-135.15840277697623
s032,True,-126.43187400563775
s032,True,-142.02462339649796
s032,True,-132.36738502314537
s032,True,-136.55351715354033
